Time,X,Y,Z
2024-11-03T21:29:43.428Z,80,176,-1008
2024-11-03T21:29:43.443Z,68,180,-1004
2024-11-03T21:29:43.473Z,68,176,-1008
2024-11-03T21:29:43.488Z,76,180,-992
2024-11-03T21:29:43.503Z,80,176,-996
2024-11-03T21:29:43.533Z,88,176,-1000
2024-11-03T21:29:43.547Z,68,176,-996
2024-11-03T21:29:43.562Z,80,180,-992
2024-11-03T21:29:43.593Z,84,164,-1020
2024-11-03T21:29:43.608Z,84,168,-1040
2024-11-03T21:29:43.623Z,76,168,-1016
2024-11-03T21:29:43.653Z,56,180,-972
2024-11-03T21:29:43.719Z,56,172,-960
2024-11-03T21:29:43.742Z,84,172,-960
2024-11-03T21:29:43.743Z,84,168,-864
2024-11-03T21:29:43.743Z,136,172,-912
2024-11-03T21:29:43.743Z,240,156,-924
2024-11-03T21:29:43.773Z,416,168,-852
2024-11-03T21:29:43.788Z,772,124,-876
2024-11-03T21:29:43.818Z,1172,44,-952
2024-11-03T21:29:43.833Z,1120,104,-1336
2024-11-03T21:29:43.848Z,816,-24,-1476
2024-11-03T21:29:43.877Z,596,12,-1620
2024-11-03T21:29:43.893Z,328,-20,-1656
2024-11-03T21:29:43.908Z,-56,-36,-1864
2024-11-03T21:29:43.938Z,-620,-84,-1996
2024-11-03T21:29:43.953Z,-1176,-60,-1988
2024-11-03T21:29:43.974Z,-1460,-64,-1816
2024-11-03T21:29:43.998Z,-1252,-88,-1680
2024-11-03T21:29:44.013Z,-1120,-100,-1456
2024-11-03T21:29:44.028Z,-1128,-196,-896
2024-11-03T21:29:44.058Z,-1260,-116,-684
2024-11-03T21:29:44.073Z,-1264,-116,-736
2024-11-03T21:29:44.103Z,-1040,-160,-508
2024-11-03T21:29:44.119Z,-736,-228,-208
2024-11-03T21:29:44.133Z,-424,-240,-48
2024-11-03T21:29:44.163Z,-168,-228,32
2024-11-03T21:29:44.178Z,104,-228,68
2024-11-03T21:29:44.193Z,312,-212,32
2024-11-03T21:29:44.222Z,492,-208,84
2024-11-03T21:29:44.238Z,720,-204,40
2024-11-03T21:29:44.253Z,904,-232,-108
2024-11-03T21:29:44.283Z,1124,-304,-248
2024-11-03T21:29:44.298Z,1396,-336,-392
2024-11-03T21:29:44.313Z,1572,-320,-728
2024-11-03T21:29:44.343Z,1588,-268,-1076
2024-11-03T21:29:44.357Z,1532,-172,-1400
2024-11-03T21:29:44.373Z,1248,-120,-1664
2024-11-03T21:29:44.403Z,1056,-88,-1912
2024-11-03T21:29:44.418Z,800,-108,-1892
2024-11-03T21:29:44.447Z,256,-80,-1796
2024-11-03T21:29:44.463Z,-260,24,-1900
2024-11-03T21:29:44.478Z,-784,108,-1824
2024-11-03T21:29:44.508Z,-820,172,-1640
2024-11-03T21:29:44.523Z,-688,196,-1400
2024-11-03T21:29:44.538Z,-632,168,-1184
2024-11-03T21:29:44.567Z,-504,144,-1092
2024-11-03T21:29:44.584Z,-376,112,-1040
2024-11-03T21:29:44.598Z,-328,92,-976
2024-11-03T21:29:44.628Z,-180,76,-960
2024-11-03T21:29:44.643Z,-68,64,-888
2024-11-03T21:29:44.662Z,36,84,-896
2024-11-03T21:29:44.687Z,84,68,-908
2024-11-03T21:29:44.703Z,176,68,-940
2024-11-03T21:29:44.734Z,216,76,-976
2024-11-03T21:29:44.747Z,204,88,-976
2024-11-03T21:29:44.762Z,192,96,-1024
2024-11-03T21:29:44.792Z,176,100,-1044
2024-11-03T21:29:44.808Z,196,92,-1008
2024-11-03T21:29:44.822Z,180,100,-1004
2024-11-03T21:29:44.853Z,164,108,-1008
2024-11-03T21:29:44.868Z,152,100,-1012
2024-11-03T21:29:44.883Z,152,116,-1012
2024-11-03T21:29:44.913Z,140,120,-1004
2024-11-03T21:29:44.928Z,120,116,-1004
2024-11-03T21:29:44.943Z,128,108,-1044
2024-11-03T21:29:44.972Z,144,96,-1036
2024-11-03T21:29:44.988Z,160,100,-1040
2024-11-03T21:29:45.003Z,152,100,-1036
2024-11-03T21:29:45.033Z,136,96,-1040
2024-11-03T21:29:45.048Z,136,100,-1040
2024-11-03T21:29:45.078Z,132,96,-1036
2024-11-03T21:29:45.093Z,144,96,-1024
2024-11-03T21:29:45.108Z,144,108,-1028
2024-11-03T21:29:45.137Z,124,100,-1048
2024-11-03T21:29:45.154Z,136,96,-1028
2024-11-03T21:29:45.169Z,128,104,-1044
2024-11-03T21:29:45.197Z,124,88,-1040
2024-11-03T21:29:45.213Z,116,92,-1028
2024-11-03T21:29:45.229Z,108,96,-1012
2024-11-03T21:29:45.257Z,116,88,-1016
2024-11-03T21:29:45.272Z,120,72,-1012
2024-11-03T21:29:45.293Z,112,72,-1020
2024-11-03T21:29:45.318Z,108,80,-1036
2024-11-03T21:29:45.333Z,92,80,-1036
2024-11-03T21:29:45.362Z,80,88,-1012
2024-11-03T21:29:45.378Z,84,84,-1012
