Time,X,Y,Z
2024-11-03T01:02:59.086Z,4,-16,-1032
2024-11-03T01:02:59.101Z,0,-28,-1040
2024-11-03T01:02:59.116Z,4,-40,-1000
2024-11-03T01:02:59.146Z,8,-16,-960
2024-11-03T01:02:59.161Z,16,-20,-976
2024-11-03T01:02:59.177Z,32,-52,-948
2024-11-03T01:02:59.206Z,-20,-108,-836
2024-11-03T01:02:59.221Z,60,-116,-688
2024-11-03T01:02:59.236Z,188,-24,-896
2024-11-03T01:02:59.266Z,188,-180,-932
2024-11-03T01:02:59.281Z,292,-300,-704
2024-11-03T01:02:59.296Z,552,-368,-656
2024-11-03T01:02:59.386Z,916,-332,-1036
2024-11-03T01:02:59.386Z,1428,-116,-1376
2024-11-03T01:02:59.399Z,1808,184,-2040
2024-11-03T01:02:59.402Z,1732,88,-2040
2024-11-03T01:02:59.403Z,1284,172,-2040
2024-11-03T01:02:59.430Z,508,296,-2008
2024-11-03T01:02:59.446Z,-432,-108,-1848
2024-11-03T01:02:59.461Z,-1300,-900,-1640
2024-11-03T01:02:59.491Z,-1680,-1400,-1484
2024-11-03T01:02:59.506Z,-1616,-1484,-1244
2024-11-03T01:02:59.527Z,-1316,-1364,-1000
2024-11-03T01:02:59.551Z,-1032,-1060,-892
2024-11-03T01:02:59.566Z,-648,-1020,-520
2024-11-03T01:02:59.581Z,-208,-824,-156
2024-11-03T01:02:59.611Z,120,-528,160
2024-11-03T01:02:59.628Z,196,-540,396
2024-11-03T01:02:59.641Z,272,-748,576
2024-11-03T01:02:59.671Z,528,-792,248
2024-11-03T01:02:59.686Z,1140,-624,56
2024-11-03T01:02:59.716Z,1584,-136,64
2024-11-03T01:02:59.734Z,1808,312,-472
2024-11-03T01:02:59.748Z,1688,68,-1052
2024-11-03T01:02:59.777Z,1896,-28,-1504
2024-11-03T01:02:59.791Z,1836,820,-1708
2024-11-03T01:02:59.806Z,1120,136,-1412
2024-11-03T01:02:59.836Z,724,-44,-1952
2024-11-03T01:02:59.851Z,368,-104,-2040
2024-11-03T01:02:59.868Z,-160,-528,-2040
2024-11-03T01:02:59.896Z,-548,-884,-1924
2024-11-03T01:02:59.911Z,-584,-752,-1500
2024-11-03T01:02:59.928Z,-488,-364,-1352
2024-11-03T01:02:59.956Z,-280,-160,-1120
2024-11-03T01:02:59.973Z,-200,-36,-1020
2024-11-03T01:03:00.001Z,-64,8,-808
2024-11-03T01:03:00.016Z,32,112,-852
2024-11-03T01:03:00.039Z,92,60,-812
2024-11-03T01:03:00.061Z,152,100,-936
2024-11-03T01:03:00.077Z,196,36,-1052
2024-11-03T01:03:00.091Z,244,28,-1104
