Time,X,Y,Z
2024-11-03T21:28:42.064Z,-176,352,-928
2024-11-03T21:28:42.079Z,-120,292,-1052
2024-11-03T21:28:42.109Z,-184,268,-992
2024-11-03T21:28:42.124Z,-212,240,-928
2024-11-03T21:28:42.154Z,-144,320,-1000
2024-11-03T21:28:42.173Z,40,572,-1132
2024-11-03T21:28:42.184Z,-124,288,-1092
2024-11-03T21:28:42.214Z,-132,288,-1096
2024-11-03T21:28:42.229Z,-156,252,-980
2024-11-03T21:28:42.243Z,-96,320,-1036
2024-11-03T21:28:42.273Z,-72,376,-1048
2024-11-03T21:28:42.289Z,-116,332,-1000
2024-11-03T21:28:42.390Z,-128,268,-988
2024-11-03T21:28:42.390Z,-116,296,-964
2024-11-03T21:28:42.390Z,-84,336,-1012
2024-11-03T21:28:42.390Z,-84,320,-1012
2024-11-03T21:28:42.396Z,-108,276,-992
2024-11-03T21:28:42.421Z,-132,264,-980
2024-11-03T21:28:42.425Z,-72,248,-860
2024-11-03T21:28:42.454Z,-48,212,-700
2024-11-03T21:28:42.469Z,-64,100,-524
2024-11-03T21:28:42.501Z,-16,52,-268
2024-11-03T21:28:42.519Z,-236,1032,-28
2024-11-03T21:28:42.538Z,-344,-708,628
2024-11-03T21:28:42.559Z,-164,-620,92
2024-11-03T21:28:42.573Z,-236,-1036,-872
2024-11-03T21:28:42.589Z,-108,-968,-1768
2024-11-03T21:28:42.618Z,184,152,-2040
2024-11-03T21:28:42.634Z,384,476,-2040
2024-11-03T21:28:42.648Z,140,-20,-1540
2024-11-03T21:28:42.689Z,96,-64,-1392
2024-11-03T21:28:42.693Z,-8,-152,-1296
2024-11-03T21:28:42.709Z,8,-252,-1188
2024-11-03T21:28:42.742Z,-36,-204,-1128
2024-11-03T21:28:42.754Z,-68,-340,-1164
2024-11-03T21:28:42.784Z,-76,-424,-1144
2024-11-03T21:28:42.799Z,-32,-308,-1100
2024-11-03T21:28:42.814Z,-44,-264,-1028
2024-11-03T21:28:42.844Z,44,-104,-1052
2024-11-03T21:28:42.859Z,112,-100,-1096
2024-11-03T21:28:42.874Z,56,-212,-1060
2024-11-03T21:28:42.904Z,48,-232,-1140
2024-11-03T21:28:42.919Z,24,-260,-1060
2024-11-03T21:28:42.934Z,40,-212,-1084
2024-11-03T21:28:42.964Z,8,-272,-1052
2024-11-03T21:28:42.979Z,4,-284,-1076
2024-11-03T21:28:42.994Z,-8,-264,-992
2024-11-03T21:28:43.024Z,-4,-268,-1048
2024-11-03T21:28:43.039Z,-12,-332,-1056
