Time,X,Y,Z
2024-11-03T21:24:47.724Z,12,136,-980
2024-11-03T21:24:47.738Z,8,100,-1032
2024-11-03T21:24:47.752Z,8,104,-1012
2024-11-03T21:24:47.783Z,28,112,-1044
2024-11-03T21:24:47.797Z,56,128,-1032
2024-11-03T21:24:47.812Z,56,116,-980
2024-11-03T21:24:47.842Z,72,128,-1056
2024-11-03T21:24:47.858Z,52,96,-1052
2024-11-03T21:24:47.875Z,48,96,-980
2024-11-03T21:24:47.903Z,104,164,-1008
2024-11-03T21:24:47.918Z,96,124,-988
2024-11-03T21:24:47.948Z,72,132,-996
2024-11-03T21:24:48.014Z,76,96,-1024
2024-11-03T21:24:48.049Z,84,124,-1016
2024-11-03T21:24:48.049Z,104,140,-984
2024-11-03T21:24:48.049Z,132,168,-1028
2024-11-03T21:24:48.049Z,96,136,-1036
2024-11-03T21:24:48.068Z,84,136,-1076
2024-11-03T21:24:48.083Z,68,156,-1152
2024-11-03T21:24:48.098Z,8,256,-1088
2024-11-03T21:24:48.128Z,-52,324,-1232
2024-11-03T21:24:48.143Z,-260,264,-1280
2024-11-03T21:24:48.158Z,-504,68,-1096
2024-11-03T21:24:48.188Z,-560,-628,-1200
2024-11-03T21:24:48.204Z,-912,-536,-1152
2024-11-03T21:24:48.218Z,-984,-724,-960
2024-11-03T21:24:48.248Z,-760,-932,-1136
2024-11-03T21:24:48.263Z,-292,-596,-1208
2024-11-03T21:24:48.293Z,96,-520,-1180
2024-11-03T21:24:48.308Z,564,-256,-1008
2024-11-03T21:24:48.325Z,848,32,-704
2024-11-03T21:24:48.353Z,988,248,-696
2024-11-03T21:24:48.368Z,1052,376,-440
2024-11-03T21:24:48.383Z,1088,424,-444
2024-11-03T21:24:48.413Z,1100,472,-368
2024-11-03T21:24:48.428Z,1076,500,-172
2024-11-03T21:24:48.443Z,1000,532,-152
2024-11-03T21:24:48.473Z,916,548,-144
2024-11-03T21:24:48.488Z,892,520,-324
2024-11-03T21:24:48.504Z,852,528,-500
2024-11-03T21:24:48.533Z,768,520,-496
2024-11-03T21:24:48.548Z,724,508,-536
2024-11-03T21:24:48.578Z,688,512,-520
2024-11-03T21:24:48.593Z,660,516,-704
2024-11-03T21:24:48.608Z,632,504,-764
2024-11-03T21:24:48.642Z,588,528,-720
2024-11-03T21:24:48.653Z,548,504,-696
2024-11-03T21:24:48.668Z,520,448,-764
2024-11-03T21:24:48.698Z,508,412,-880
2024-11-03T21:24:48.715Z,500,400,-960
2024-11-03T21:24:48.730Z,476,408,-864
2024-11-03T21:24:48.758Z,492,448,-852
2024-11-03T21:24:48.773Z,468,432,-820
2024-11-03T21:24:48.788Z,456,392,-904
2024-11-03T21:24:48.819Z,436,356,-928
2024-11-03T21:24:48.834Z,440,380,-888
2024-11-03T21:24:48.848Z,472,428,-844
2024-11-03T21:24:48.878Z,472,428,-824
2024-11-03T21:24:48.893Z,484,420,-812
2024-11-03T21:24:48.923Z,480,412,-860
2024-11-03T21:24:48.953Z,476,404,-852
2024-11-03T21:24:48.955Z,492,436,-860
2024-11-03T21:24:48.983Z,472,408,-844
2024-11-03T21:24:48.998Z,472,388,-848
2024-11-03T21:24:49.018Z,480,420,-860
2024-11-03T21:24:49.045Z,472,428,-824
2024-11-03T21:24:49.058Z,468,412,-840
2024-11-03T21:24:49.084Z,484,388,-884
2024-11-03T21:24:49.103Z,512,364,-892
2024-11-03T21:24:49.118Z,528,336,-876
