Time,X,Y,Z
2024-11-03T21:28:03.261Z,48,108,-968
2024-11-03T21:28:03.290Z,72,140,-996
2024-11-03T21:28:03.304Z,88,160,-1016
2024-11-03T21:28:03.319Z,72,120,-964
2024-11-03T21:28:03.349Z,92,132,-972
2024-11-03T21:28:03.364Z,112,172,-968
2024-11-03T21:28:03.394Z,128,204,-928
2024-11-03T21:28:03.410Z,140,192,-844
2024-11-03T21:28:03.428Z,124,192,-828
2024-11-03T21:28:03.454Z,128,196,-936
2024-11-03T21:28:03.469Z,308,-112,-1012
2024-11-03T21:28:03.501Z,72,184,-1380
2024-11-03T21:28:03.568Z,148,332,-1632
2024-11-03T21:28:03.570Z,352,428,-2040
2024-11-03T21:28:03.571Z,460,272,-2040
2024-11-03T21:28:03.578Z,372,-84,-2040
2024-11-03T21:28:03.591Z,316,-408,-2040
2024-11-03T21:28:03.604Z,300,-596,-2040
2024-11-03T21:28:03.634Z,264,-324,-1104
2024-11-03T21:28:03.649Z,452,52,-1100
2024-11-03T21:28:03.664Z,352,-8,-808
2024-11-03T21:28:03.694Z,260,-96,-484
2024-11-03T21:28:03.709Z,120,-84,-152
2024-11-03T21:28:03.740Z,160,88,-36
2024-11-03T21:28:03.754Z,164,168,-108
2024-11-03T21:28:03.769Z,196,284,-92
2024-11-03T21:28:03.804Z,212,396,-104
2024-11-03T21:28:03.816Z,176,476,-120
2024-11-03T21:28:03.831Z,116,516,-112
2024-11-03T21:28:03.861Z,108,552,-264
2024-11-03T21:28:03.877Z,116,624,-368
2024-11-03T21:28:03.894Z,124,668,-400
2024-11-03T21:28:03.922Z,136,696,-484
2024-11-03T21:28:03.934Z,92,656,-572
2024-11-03T21:28:03.949Z,68,620,-660
2024-11-03T21:28:03.980Z,92,640,-732
2024-11-03T21:28:03.995Z,116,664,-764
2024-11-03T21:28:04.024Z,80,648,-776
2024-11-03T21:28:04.040Z,100,684,-824
2024-11-03T21:28:04.054Z,96,676,-840
2024-11-03T21:28:04.084Z,68,668,-832
2024-11-03T21:28:04.099Z,48,668,-824
2024-11-03T21:28:04.114Z,56,680,-848
2024-11-03T21:28:04.146Z,32,660,-828
2024-11-03T21:28:04.163Z,16,644,-776
2024-11-03T21:28:04.177Z,36,676,-800
2024-11-03T21:28:04.204Z,52,684,-796
2024-11-03T21:28:04.219Z,80,708,-836
2024-11-03T21:28:04.234Z,92,712,-832
2024-11-03T21:28:04.266Z,96,680,-836
2024-11-03T21:28:04.279Z,88,660,-824
2024-11-03T21:28:04.295Z,52,632,-832
2024-11-03T21:28:04.324Z,56,592,-816
