Time,X,Y,Z
2024-11-03T01:03:06.498Z,60,116,-1000
2024-11-03T01:03:06.526Z,0,-44,-964
2024-11-03T01:03:06.540Z,-12,0,-1028
2024-11-03T01:03:06.555Z,24,-24,-984
2024-11-03T01:03:06.585Z,180,184,-992
2024-11-03T01:03:06.600Z,108,112,-776
2024-11-03T01:03:06.615Z,56,-60,-808
2024-11-03T01:03:06.645Z,188,-24,-1020
2024-11-03T01:03:06.661Z,188,116,-1112
2024-11-03T01:03:06.690Z,140,-64,-1028
2024-11-03T01:03:06.705Z,284,-76,-844
2024-11-03T01:03:06.720Z,544,24,-644
2024-11-03T01:03:06.804Z,888,160,-1036
2024-11-03T01:03:06.806Z,948,8,-1576
2024-11-03T01:03:06.806Z,892,-240,-1548
2024-11-03T01:03:06.811Z,972,132,-1284
2024-11-03T01:03:06.825Z,776,56,-1220
2024-11-03T01:03:06.840Z,552,-128,-1656
2024-11-03T01:03:06.872Z,288,-108,-1908
2024-11-03T01:03:06.886Z,192,348,-1520
2024-11-03T01:03:06.901Z,-420,112,-1228
2024-11-03T01:03:06.931Z,-1044,-496,-1512
2024-11-03T01:03:06.946Z,-1440,-1008,-1428
2024-11-03T01:03:06.962Z,-1528,-1052,-1096
2024-11-03T01:03:06.990Z,-1368,-584,-1052
2024-11-03T01:03:07.005Z,-1228,-900,-956
2024-11-03T01:03:07.036Z,-1236,-960,-700
2024-11-03T01:03:07.051Z,-952,-1304,64
2024-11-03T01:03:07.066Z,-812,-1552,372
2024-11-03T01:03:07.096Z,-448,-1636,184
2024-11-03T01:03:07.112Z,480,-2040,-52
2024-11-03T01:03:07.126Z,1716,-920,-548
2024-11-03T01:03:07.156Z,1948,184,-936
2024-11-03T01:03:07.171Z,1212,-960,-1056
2024-11-03T01:03:07.191Z,1732,-1580,-1360
2024-11-03T01:03:07.216Z,2040,-68,-1524
2024-11-03T01:03:07.231Z,2040,72,-1956
2024-11-03T01:03:07.247Z,2040,1724,-1724
2024-11-03T01:03:07.276Z,2040,1040,-2040
2024-11-03T01:03:07.291Z,796,-144,-1556
2024-11-03T01:03:07.321Z,-752,-688,-380
2024-11-03T01:03:07.336Z,-1492,-1172,-1900
2024-11-03T01:03:07.351Z,-1920,-1076,-1128
2024-11-03T01:03:07.381Z,-1748,-812,-716
2024-11-03T01:03:07.396Z,-1320,-280,-776
2024-11-03T01:03:07.415Z,-1020,-252,-848
2024-11-03T01:03:07.441Z,-364,-20,-816
2024-11-03T01:03:07.456Z,180,408,-808
2024-11-03T01:03:07.471Z,460,444,-888
2024-11-03T01:03:07.501Z,452,480,-1212
2024-11-03T01:03:07.519Z,232,76,-1212
2024-11-03T01:03:07.533Z,108,32,-1224
2024-11-03T01:03:07.561Z,8,20,-1056
2024-11-03T01:03:07.577Z,-180,-56,-972
2024-11-03T01:03:07.607Z,-124,-128,-980
2024-11-03T01:03:07.621Z,-176,-44,-1052
2024-11-03T01:03:07.636Z,-192,-136,-1004
2024-11-03T01:03:07.666Z,-104,0,-1036
2024-11-03T01:03:07.682Z,-44,32,-1004
2024-11-03T01:03:07.704Z,24,52,-1004
2024-11-03T01:03:07.726Z,8,44,-996
2024-11-03T01:03:07.741Z,8,-64,-1016
2024-11-03T01:03:07.756Z,164,-24,-1028
