Time,X,Y,Z
2024-11-03T01:03:02.717Z,12,-104,-1064
2024-11-03T01:03:02.746Z,56,-44,-956
2024-11-03T01:03:02.761Z,96,-52,-884
2024-11-03T01:03:02.776Z,112,-40,-832
2024-11-03T01:03:02.806Z,140,-92,-836
2024-11-03T01:03:02.821Z,180,-180,-840
2024-11-03T01:03:02.836Z,404,-272,-808
2024-11-03T01:03:02.866Z,560,-24,-776
2024-11-03T01:03:02.881Z,680,-420,-528
2024-11-03T01:03:02.896Z,1060,-400,-760
2024-11-03T01:03:02.927Z,1300,-8,-1412
2024-11-03T01:03:02.941Z,1252,-176,-1664
2024-11-03T01:03:02.956Z,1140,36,-1804
2024-11-03T01:03:03.023Z,892,-104,-1988
2024-11-03T01:03:03.029Z,600,212,-2040
2024-11-03T01:03:03.031Z,344,668,-2040
2024-11-03T01:03:03.047Z,-256,356,-2040
2024-11-03T01:03:03.062Z,-872,-568,-2024
2024-11-03T01:03:03.104Z,-1124,-1076,-1976
2024-11-03T01:03:03.107Z,-1096,-1204,-1476
2024-11-03T01:03:03.121Z,-916,-1108,-816
2024-11-03T01:03:03.151Z,-708,-920,-292
2024-11-03T01:03:03.166Z,-544,-904,-92
2024-11-03T01:03:03.181Z,-476,-1000,-48
2024-11-03T01:03:03.211Z,-456,-1264,140
2024-11-03T01:03:03.227Z,16,-1888,588
2024-11-03T01:03:03.241Z,636,-1396,728
2024-11-03T01:03:03.271Z,1244,-688,604
2024-11-03T01:03:03.286Z,1784,-560,-176
2024-11-03T01:03:03.316Z,2040,-64,-1356
2024-11-03T01:03:03.334Z,2040,540,-1480
2024-11-03T01:03:03.349Z,2040,692,-844
2024-11-03T01:03:03.376Z,2040,612,-1036
2024-11-03T01:03:03.391Z,1740,492,-1716
2024-11-03T01:03:03.406Z,1260,404,-1920
2024-11-03T01:03:03.436Z,680,72,-1908
2024-11-03T01:03:03.451Z,-104,-644,-1812
2024-11-03T01:03:03.467Z,-580,-1132,-1884
2024-11-03T01:03:03.496Z,-684,-968,-1884
2024-11-03T01:03:03.513Z,-612,-544,-1480
2024-11-03T01:03:03.526Z,-488,-320,-1252
2024-11-03T01:03:03.562Z,-280,-112,-1076
2024-11-03T01:03:03.571Z,-92,76,-1028
2024-11-03T01:03:03.585Z,36,144,-992
2024-11-03T01:03:03.615Z,168,196,-924
2024-11-03T01:03:03.631Z,300,276,-916
2024-11-03T01:03:03.660Z,352,268,-904
