Time,X,Y,Z
2024-11-03T01:03:51.934Z,140,300,-932
2024-11-03T01:03:51.945Z,104,312,-1136
2024-11-03T01:03:51.960Z,56,276,-1116
2024-11-03T01:03:51.990Z,0,324,-904
2024-11-03T01:03:52.005Z,-60,272,-756
2024-11-03T01:03:52.020Z,28,388,-976
2024-11-03T01:03:52.050Z,4,352,-1144
2024-11-03T01:03:52.066Z,-104,8,-1056
2024-11-03T01:03:52.080Z,-132,-352,-916
2024-11-03T01:03:52.110Z,68,-1380,-936
2024-11-03T01:03:52.125Z,1372,-804,-1032
2024-11-03T01:03:52.140Z,2040,1428,-1496
2024-11-03T01:03:52.217Z,1652,2040,-128
2024-11-03T01:03:52.217Z,736,680,544
2024-11-03T01:03:52.222Z,616,700,-1792
2024-11-03T01:03:52.230Z,76,704,-2040
2024-11-03T01:03:52.260Z,-608,-88,-1912
2024-11-03T01:03:52.275Z,-972,-1392,-1432
2024-11-03T01:03:52.290Z,-552,-2040,-2040
2024-11-03T01:03:52.320Z,28,-2040,-1608
2024-11-03T01:03:52.335Z,1076,-2040,280
2024-11-03T01:03:52.350Z,2040,500,-296
2024-11-03T01:03:52.380Z,2040,1592,-600
2024-11-03T01:03:52.395Z,2040,2040,880
2024-11-03T01:03:52.410Z,1560,-452,628
2024-11-03T01:03:52.446Z,1760,532,60
2024-11-03T01:03:52.455Z,2040,1812,-664
2024-11-03T01:03:52.470Z,2004,320,-1024
2024-11-03T01:03:52.500Z,488,-1308,-1996
2024-11-03T01:03:52.516Z,-1092,-2040,-2040
2024-11-03T01:03:52.530Z,-1872,-2040,-1368
2024-11-03T01:03:52.560Z,-1160,-2040,-1996
2024-11-03T01:03:52.575Z,252,-780,-1348
2024-11-03T01:03:52.590Z,680,-1016,-288
2024-11-03T01:03:52.620Z,1832,-656,-296
2024-11-03T01:03:52.635Z,2040,388,-584
2024-11-03T01:03:52.650Z,2040,1968,240
2024-11-03T01:03:52.680Z,2040,2040,1476
2024-11-03T01:03:52.695Z,1256,-1516,-536
2024-11-03T01:03:52.710Z,1048,472,-1472
2024-11-03T01:03:52.740Z,-304,-1364,-2040
2024-11-03T01:03:52.755Z,-1600,-1412,-2040
2024-11-03T01:03:52.770Z,-1124,-2040,-2040
2024-11-03T01:03:52.800Z,132,-2008,-1064
2024-11-03T01:03:52.830Z,1304,-328,312
2024-11-03T01:03:52.845Z,2040,520,-476
2024-11-03T01:03:52.861Z,2040,1088,-788
2024-11-03T01:03:52.893Z,1688,-4,1368
2024-11-03T01:03:52.907Z,1304,76,1536
2024-11-03T01:03:52.920Z,1280,36,-592
2024-11-03T01:03:52.965Z,1236,80,-2040
2024-11-03T01:03:52.966Z,800,-528,-2040
2024-11-03T01:03:52.980Z,-516,-1880,-2040
2024-11-03T01:03:53.015Z,-716,-2040,-680
2024-11-03T01:03:53.025Z,668,-1524,-408
2024-11-03T01:03:53.040Z,1628,424,-528
2024-11-03T01:03:53.073Z,1820,444,504
2024-11-03T01:03:53.086Z,1920,392,2040
2024-11-03T01:03:53.104Z,2040,324,1156
2024-11-03T01:03:53.130Z,2040,168,-1984
2024-11-03T01:03:53.145Z,2040,224,-2040
2024-11-03T01:03:53.160Z,976,-508,-2040
2024-11-03T01:03:53.190Z,-684,-2040,-952
2024-11-03T01:03:53.205Z,-196,-2040,-484
2024-11-03T01:03:53.220Z,1204,308,456
2024-11-03T01:03:53.250Z,1424,-632,2040
2024-11-03T01:03:53.266Z,1980,-24,2040
2024-11-03T01:03:53.281Z,2040,-524,1096
2024-11-03T01:03:53.310Z,2040,-716,-1720
2024-11-03T01:03:53.325Z,1908,44,-2040
2024-11-03T01:03:53.340Z,1228,-800,-2040
2024-11-03T01:03:53.370Z,976,-1488,-2040
2024-11-03T01:03:53.386Z,956,-1448,-1784
2024-11-03T01:03:53.416Z,1524,-1208,-68
2024-11-03T01:03:53.430Z,2040,-360,2040
2024-11-03T01:03:53.460Z,2040,-704,2040
2024-11-03T01:03:53.477Z,2040,-444,496
2024-11-03T01:03:53.490Z,1716,-780,-2040
2024-11-03T01:03:53.521Z,644,-1932,-2040
2024-11-03T01:03:53.535Z,1060,-2040,-2040
2024-11-03T01:03:53.552Z,2028,-744,-1784
2024-11-03T01:03:53.580Z,1992,-508,8
