Time,X,Y,Z
2024-11-12T18:40:31.771Z,84,336,-984
2024-11-12T18:40:31.786Z,100,324,-944
2024-11-12T18:40:31.801Z,64,336,-960
2024-11-12T18:40:31.831Z,36,324,-952
2024-11-12T18:40:31.846Z,16,324,-956
2024-11-12T18:40:31.876Z,24,308,-964
2024-11-12T18:40:31.891Z,48,300,-956
2024-11-12T18:40:31.908Z,8,288,-920
2024-11-12T18:40:31.936Z,36,304,-980
2024-11-12T18:40:31.951Z,4,300,-1000
2024-11-12T18:40:31.966Z,-36,316,-968
2024-11-12T18:40:31.996Z,-20,304,-928
2024-11-12T18:40:32.011Z,12,284,-948
2024-11-12T18:40:32.085Z,60,288,-984
2024-11-12T18:40:32.085Z,56,288,-992
2024-11-12T18:40:32.085Z,20,304,-996
2024-11-12T18:40:32.086Z,44,308,-1012
2024-11-12T18:40:32.116Z,40,308,-1032
2024-11-12T18:40:32.131Z,16,328,-1004
2024-11-12T18:40:32.161Z,-8,332,-980
2024-11-12T18:40:32.176Z,28,304,-984
2024-11-12T18:40:32.201Z,8,308,-988
2024-11-12T18:40:32.221Z,-28,292,-1008
2024-11-12T18:40:32.236Z,-100,300,-1012
2024-11-12T18:40:32.251Z,-200,324,-1024
2024-11-12T18:40:32.281Z,-408,360,-1000
2024-11-12T18:40:32.296Z,-648,460,-1020
2024-11-12T18:40:32.311Z,-848,488,-996
2024-11-12T18:40:32.341Z,-964,432,-996
2024-11-12T18:40:32.357Z,-968,380,-1028
2024-11-12T18:40:32.371Z,-868,300,-1056
2024-11-12T18:40:32.401Z,-700,164,-1068
2024-11-12T18:40:32.416Z,-436,20,-1124
2024-11-12T18:40:32.431Z,-240,-60,-1192
2024-11-12T18:40:32.461Z,16,-176,-1176
2024-11-12T18:40:32.477Z,204,-204,-1156
2024-11-12T18:40:32.507Z,464,-232,-1060
2024-11-12T18:40:32.521Z,768,-48,-872
2024-11-12T18:40:32.536Z,952,-196,-1028
2024-11-12T18:40:32.566Z,912,-28,-1032
2024-11-12T18:40:32.581Z,776,64,-1016
2024-11-12T18:40:32.596Z,704,172,-1068
2024-11-12T18:40:32.626Z,672,244,-1044
2024-11-12T18:40:32.642Z,628,256,-1004
2024-11-12T18:40:32.657Z,600,260,-936
2024-11-12T18:40:32.686Z,520,272,-916
2024-11-12T18:40:32.701Z,432,276,-936
2024-11-12T18:40:32.719Z,332,276,-924
2024-11-12T18:40:32.746Z,240,292,-912
2024-11-12T18:40:32.761Z,172,296,-904
2024-11-12T18:40:32.791Z,108,316,-888
2024-11-12T18:40:32.807Z,64,336,-900
2024-11-12T18:40:32.821Z,-4,360,-912
2024-11-12T18:40:32.851Z,20,360,-920
2024-11-12T18:40:32.866Z,0,360,-920
2024-11-12T18:40:32.881Z,16,364,-964
2024-11-12T18:40:32.911Z,0,368,-996
2024-11-12T18:40:32.927Z,-8,368,-996
2024-11-12T18:40:32.942Z,44,352,-1028
2024-11-12T18:40:32.971Z,12,344,-988
2024-11-12T18:40:32.986Z,44,344,-1028
2024-11-12T18:40:33.001Z,40,356,-1040
2024-11-12T18:40:33.031Z,16,356,-1036
2024-11-12T18:40:33.046Z,28,372,-1056
2024-11-12T18:40:33.061Z,8,364,-1016
2024-11-12T18:40:33.092Z,24,372,-996
2024-11-12T18:40:33.108Z,44,348,-936
2024-11-12T18:40:33.139Z,48,352,-936
2024-11-12T18:40:33.151Z,56,340,-932
2024-11-12T18:40:33.167Z,32,348,-956
2024-11-12T18:40:33.196Z,4,340,-932
2024-11-12T18:40:33.213Z,48,340,-948
2024-11-12T18:40:33.236Z,0,364,-956
2024-11-12T18:40:33.257Z,24,344,-956
2024-11-12T18:40:33.272Z,44,344,-940
2024-11-12T18:40:33.286Z,40,344,-964
2024-11-12T18:40:33.316Z,12,348,-980
2024-11-12T18:40:33.331Z,28,348,-1008
2024-11-12T18:40:33.348Z,20,348,-1032
2024-11-12T18:40:33.378Z,12,344,-1028
2024-11-12T18:40:33.392Z,32,348,-1024
2024-11-12T18:40:33.422Z,40,336,-1012
2024-11-12T18:40:33.436Z,36,344,-1008
2024-11-12T18:40:33.452Z,32,352,-1012
2024-11-12T18:40:33.481Z,36,348,-992
2024-11-12T18:40:33.496Z,36,340,-992
2024-11-12T18:40:33.512Z,64,336,-1004
2024-11-12T18:40:33.542Z,76,336,-1028
2024-11-12T18:40:33.556Z,52,340,-1000
