Time,X,Y,Z
2024-11-03T00:58:37.761Z,260,264,-932
2024-11-03T00:58:37.776Z,260,244,-984
2024-11-03T00:58:37.806Z,264,244,-1004
2024-11-03T00:58:37.821Z,256,252,-1000
2024-11-03T00:58:37.836Z,232,228,-996
2024-11-03T00:58:37.866Z,220,212,-1000
2024-11-03T00:58:37.881Z,212,212,-1016
2024-11-03T00:58:37.896Z,248,204,-1076
2024-11-03T00:58:37.926Z,324,184,-1108
2024-11-03T00:58:37.940Z,400,280,-1236
2024-11-03T00:58:37.955Z,388,164,-1364
2024-11-03T00:58:37.985Z,400,84,-1420
2024-11-03T00:58:38.065Z,432,92,-1576
2024-11-03T00:58:38.066Z,472,48,-1732
2024-11-03T00:58:38.067Z,448,64,-1892
2024-11-03T00:58:38.068Z,308,-140,-1936
2024-11-03T00:58:38.097Z,264,-152,-1860
2024-11-03T00:58:38.105Z,252,-40,-1452
2024-11-03T00:58:38.120Z,208,56,-912
2024-11-03T00:58:38.151Z,8,236,-752
2024-11-03T00:58:38.166Z,-140,-20,-624
2024-11-03T00:58:38.180Z,-244,296,-436
2024-11-03T00:58:38.210Z,-332,268,-296
2024-11-03T00:58:38.225Z,-404,280,-360
2024-11-03T00:58:38.240Z,-368,404,-180
2024-11-03T00:58:38.270Z,-364,504,112
2024-11-03T00:58:38.286Z,-392,612,200
2024-11-03T00:58:38.301Z,-432,624,212
2024-11-03T00:58:38.332Z,-476,520,292
2024-11-03T00:58:38.348Z,-500,576,316
2024-11-03T00:58:38.364Z,-524,664,244
2024-11-03T00:58:38.390Z,-536,604,212
2024-11-03T00:58:38.406Z,-552,656,196
2024-11-03T00:58:38.438Z,-532,708,228
2024-11-03T00:58:38.454Z,-504,796,304
2024-11-03T00:58:38.466Z,-468,848,352
2024-11-03T00:58:38.496Z,-496,816,272
2024-11-03T00:58:38.511Z,-524,732,168
2024-11-03T00:58:38.525Z,-552,768,92
2024-11-03T00:58:38.556Z,-564,728,12
2024-11-03T00:58:38.580Z,-536,760,4
2024-11-03T00:58:38.589Z,-516,780,100
2024-11-03T00:58:38.616Z,-508,696,220
2024-11-03T00:58:38.631Z,-492,600,272
2024-11-03T00:58:38.646Z,-432,504,176
2024-11-03T00:58:38.676Z,-356,636,60
