Time,X,Y,Z
2024-11-03T00:57:20.318Z,8,104,-1068
2024-11-03T00:57:20.332Z,16,92,-1072
2024-11-03T00:57:20.362Z,40,124,-1064
2024-11-03T00:57:20.377Z,36,108,-1044
2024-11-03T00:57:20.393Z,36,104,-1016
2024-11-03T00:57:20.422Z,36,96,-996
2024-11-03T00:57:20.437Z,28,108,-996
2024-11-03T00:57:20.452Z,24,92,-988
2024-11-03T00:57:20.482Z,36,96,-1004
2024-11-03T00:57:20.497Z,28,60,-996
2024-11-03T00:57:20.512Z,240,88,-1000
2024-11-03T00:57:20.543Z,1072,512,-1176
2024-11-03T00:57:20.557Z,1724,1172,-1716
2024-11-03T00:57:20.606Z,2040,1384,-2040
2024-11-03T00:57:20.630Z,2032,1212,-1716
2024-11-03T00:57:20.630Z,1408,-112,-1032
2024-11-03T00:57:20.652Z,476,-780,-1088
2024-11-03T00:57:20.662Z,100,-1236,-1076
2024-11-03T00:57:20.678Z,-380,-996,-1060
2024-11-03T00:57:20.707Z,-704,-1368,-708
2024-11-03T00:57:20.722Z,-864,-1512,-276
2024-11-03T00:57:20.737Z,-992,-928,432
2024-11-03T00:57:20.767Z,-1008,-460,472
2024-11-03T00:57:20.782Z,-976,-388,-164
2024-11-03T00:57:20.797Z,-844,-284,-764
2024-11-03T00:57:20.828Z,-696,20,-1104
2024-11-03T00:57:20.842Z,-712,-68,-1156
2024-11-03T00:57:20.857Z,-688,-160,-968
2024-11-03T00:57:20.891Z,-648,-68,-816
2024-11-03T00:57:20.905Z,-620,4,-732
2024-11-03T00:57:20.932Z,-672,-36,-656
2024-11-03T00:57:20.947Z,-656,68,-604
2024-11-03T00:57:20.971Z,-680,24,-704
2024-11-03T00:57:20.997Z,-656,52,-756
2024-11-03T00:57:21.010Z,-656,84,-836
2024-11-03T00:57:21.027Z,-684,76,-860
2024-11-03T00:57:21.052Z,-744,0,-860
2024-11-03T00:57:21.067Z,-752,-20,-828
2024-11-03T00:57:21.082Z,-724,-92,-788
2024-11-03T00:57:21.112Z,-772,-144,-776
2024-11-03T00:57:21.128Z,-844,-276,-744
2024-11-03T00:57:21.143Z,-816,-372,-768
