Time,X,Y,Z
2024-11-03T21:31:40.786Z,88,444,-1016
2024-11-03T21:31:40.800Z,-28,468,-956
2024-11-03T21:31:40.858Z,-176,480,-856
2024-11-03T21:31:40.858Z,-236,516,-1272
2024-11-03T21:31:40.866Z,-516,580,-1200
2024-11-03T21:31:40.890Z,-324,564,-952
2024-11-03T21:31:40.905Z,-192,492,-664
2024-11-03T21:31:40.925Z,288,364,-952
2024-11-03T21:31:40.950Z,1168,88,-1208
2024-11-03T21:31:40.965Z,1724,144,-948
2024-11-03T21:31:40.981Z,1632,-120,-680
2024-11-03T21:31:41.010Z,1668,-360,-312
2024-11-03T21:31:41.025Z,1616,-264,-340
2024-11-03T21:31:41.094Z,1120,-96,-436
2024-11-03T21:31:41.094Z,460,164,-824
2024-11-03T21:31:41.101Z,-240,340,-1176
2024-11-03T21:31:41.101Z,-1312,584,-1492
2024-11-03T21:31:41.131Z,-1796,596,-1552
2024-11-03T21:31:41.145Z,-1392,632,-1492
2024-11-03T21:31:41.160Z,-976,420,-1244
2024-11-03T21:31:41.190Z,-592,164,-968
2024-11-03T21:31:41.205Z,716,892,-412
2024-11-03T21:31:41.235Z,-20,-200,-716
2024-11-03T21:31:41.250Z,384,-280,-540
2024-11-03T21:31:41.265Z,956,-388,-380
2024-11-03T21:31:41.282Z,1496,-464,-40
2024-11-03T21:31:41.310Z,1948,-664,300
2024-11-03T21:31:41.325Z,2040,-592,364
2024-11-03T21:31:41.340Z,2040,-612,200
2024-11-03T21:31:41.370Z,1876,-720,-436
2024-11-03T21:31:41.400Z,688,-448,-1248
2024-11-03T21:31:41.416Z,52,60,-1472
2024-11-03T21:31:41.444Z,-1184,544,-2036
2024-11-03T21:31:41.460Z,-1960,784,-2040
2024-11-03T21:31:41.475Z,-1944,976,-1936
2024-11-03T21:31:41.490Z,-1596,876,-1420
2024-11-03T21:31:41.505Z,-1236,616,-1128
2024-11-03T21:31:41.535Z,-868,416,-1100
2024-11-03T21:31:41.550Z,-740,164,-1196
2024-11-03T21:31:41.580Z,-420,-76,-1272
2024-11-03T21:31:41.595Z,368,-120,-480
2024-11-03T21:31:41.614Z,480,-296,-360
2024-11-03T21:31:41.640Z,1236,-448,-652
2024-11-03T21:31:41.655Z,1720,-536,-608
2024-11-03T21:31:41.670Z,1928,-576,-80
2024-11-03T21:31:41.700Z,2040,-596,200
2024-11-03T21:31:41.715Z,2040,-556,-24
2024-11-03T21:31:41.731Z,1928,-560,-384
2024-11-03T21:31:41.760Z,1324,-452,-620
2024-11-03T21:31:41.790Z,752,-156,-836
2024-11-03T21:31:41.792Z,92,172,-1340
2024-11-03T21:31:41.820Z,-948,508,-1928
2024-11-03T21:31:41.835Z,-1704,640,-2012
2024-11-03T21:31:41.850Z,-1776,828,-1876
2024-11-03T21:31:41.880Z,-1500,744,-1520
2024-11-03T21:31:41.896Z,-1036,512,-1124
2024-11-03T21:31:41.911Z,-576,256,-900
2024-11-03T21:31:41.940Z,-192,80,-844
2024-11-03T21:31:41.961Z,192,-20,-728
2024-11-03T21:31:41.970Z,504,-84,-476
2024-11-03T21:31:42.000Z,736,-284,-200
2024-11-03T21:31:42.030Z,980,-260,-352
2024-11-03T21:31:42.045Z,1360,-240,-600
2024-11-03T21:31:42.061Z,1588,-276,-608
2024-11-03T21:31:42.090Z,1648,-240,-432
2024-11-03T21:31:42.105Z,1600,-176,-416
2024-11-03T21:31:42.120Z,1552,-136,-632
2024-11-03T21:31:42.158Z,1508,-112,-672
2024-11-03T21:31:42.167Z,1280,-84,-684
2024-11-03T21:31:42.185Z,972,-100,-748
2024-11-03T21:31:42.211Z,692,-80,-812
2024-11-03T21:31:42.225Z,388,76,-1048
2024-11-03T21:31:42.240Z,-332,324,-1412
2024-11-03T21:31:42.272Z,-928,416,-1704
2024-11-03T21:31:42.285Z,-1200,404,-1620
2024-11-03T21:31:42.302Z,-940,504,-1324
2024-11-03T21:31:42.330Z,-644,372,-1112
2024-11-03T21:31:42.345Z,-124,240,-1208
2024-11-03T21:31:42.361Z,252,156,-1152
2024-11-03T21:31:42.392Z,356,156,-912
2024-11-03T21:31:42.405Z,292,120,-716
2024-11-03T21:31:42.420Z,388,144,-720
2024-11-03T21:31:42.451Z,448,168,-844
2024-11-03T21:31:42.478Z,540,164,-980
2024-11-03T21:31:42.480Z,564,168,-928
2024-11-03T21:31:42.510Z,552,192,-876
2024-11-03T21:31:42.525Z,508,208,-844
2024-11-03T21:31:42.540Z,428,220,-908
2024-11-03T21:31:42.570Z,444,288,-1136
