Time,X,Y,Z
2024-11-03T00:57:43.014Z,-68,520,-876
2024-11-03T00:57:43.027Z,-48,524,-876
2024-11-03T00:57:43.042Z,-8,564,-904
2024-11-03T00:57:43.072Z,12,628,-956
2024-11-03T00:57:43.087Z,-24,556,-980
2024-11-03T00:57:43.102Z,-64,464,-952
2024-11-03T00:57:43.132Z,-68,468,-916
2024-11-03T00:57:43.147Z,28,560,-900
2024-11-03T00:57:43.163Z,256,760,-1016
2024-11-03T00:57:43.192Z,828,1040,-1216
2024-11-03T00:57:43.207Z,1520,1700,-1340
2024-11-03T00:57:43.222Z,1508,1756,-1340
2024-11-03T00:57:43.296Z,676,616,-1128
2024-11-03T00:57:43.303Z,72,-292,-1016
2024-11-03T00:57:43.304Z,-292,44,-1500
2024-11-03T00:57:43.313Z,-424,-416,-1400
2024-11-03T00:57:43.327Z,-544,-456,-604
2024-11-03T00:57:43.357Z,-696,-472,-192
2024-11-03T00:57:43.372Z,-808,-496,-308
2024-11-03T00:57:43.387Z,-852,-200,-472
2024-11-03T00:57:43.417Z,-876,-240,-492
2024-11-03T00:57:43.432Z,-860,-160,-348
2024-11-03T00:57:43.447Z,-876,-112,-264
2024-11-03T00:57:43.477Z,-948,-68,-348
2024-11-03T00:57:43.492Z,-896,-28,-520
2024-11-03T00:57:43.507Z,-900,132,-672
2024-11-03T00:57:43.537Z,-880,-20,-860
2024-11-03T00:57:43.552Z,-672,300,-860
2024-11-03T00:57:43.582Z,-700,376,-948
2024-11-03T00:57:43.599Z,-700,228,-840
2024-11-03T00:57:43.613Z,-704,284,-768
2024-11-03T00:57:43.642Z,-560,312,-760
2024-11-03T00:57:43.657Z,-568,496,-676
2024-11-03T00:57:43.672Z,-676,264,-640
2024-11-03T00:57:43.704Z,-616,324,-632
2024-11-03T00:57:43.718Z,-572,492,-636
2024-11-03T00:57:43.734Z,-592,384,-624
2024-11-03T00:57:43.762Z,-620,424,-652
2024-11-03T00:57:43.777Z,-652,392,-748
2024-11-03T00:57:43.792Z,-688,372,-788
2024-11-03T00:57:43.823Z,-672,348,-800
2024-11-03T00:57:43.838Z,-652,396,-780
2024-11-03T00:57:43.872Z,-660,356,-744
2024-11-03T00:57:43.882Z,-644,384,-716
2024-11-03T00:57:43.897Z,-652,364,-676
2024-11-03T00:57:43.927Z,-668,364,-720
2024-11-03T00:57:43.944Z,-660,372,-744
2024-11-03T00:57:43.957Z,-688,328,-760
2024-11-03T00:57:43.987Z,-692,336,-724
2024-11-03T00:57:44.002Z,-688,304,-684
2024-11-03T00:57:44.017Z,-712,276,-640
2024-11-03T00:57:44.047Z,-752,220,-648
2024-11-03T00:57:44.063Z,-744,168,-596
2024-11-03T00:57:44.080Z,-648,248,-520
