Time,X,Y,Z
2024-11-03T21:28:50.037Z,-92,176,-1048
2024-11-03T21:28:50.059Z,-76,192,-1032
2024-11-03T21:28:50.074Z,-68,200,-1020
2024-11-03T21:28:50.089Z,-72,204,-1040
2024-11-03T21:28:50.119Z,-76,196,-984
2024-11-03T21:28:50.133Z,-64,216,-964
2024-11-03T21:28:50.149Z,-28,256,-956
2024-11-03T21:28:50.179Z,-28,224,-888
2024-11-03T21:28:50.194Z,-32,228,-852
2024-11-03T21:28:50.224Z,-36,204,-796
2024-11-03T21:28:50.239Z,-36,140,-712
2024-11-03T21:28:50.254Z,-76,48,-540
2024-11-03T21:28:50.342Z,-196,-144,-228
2024-11-03T21:28:50.343Z,-412,-484,272
2024-11-03T21:28:50.344Z,-608,-972,252
2024-11-03T21:28:50.346Z,-720,-1236,-132
2024-11-03T21:28:50.359Z,-196,-1068,-1012
2024-11-03T21:28:50.373Z,692,-44,-2040
2024-11-03T21:28:50.404Z,932,428,-2040
2024-11-03T21:28:50.418Z,576,164,-2040
2024-11-03T21:28:50.434Z,524,280,-2040
2024-11-03T21:28:50.464Z,460,396,-1696
2024-11-03T21:28:50.484Z,324,400,-1188
2024-11-03T21:28:50.494Z,220,272,-1016
2024-11-03T21:28:50.523Z,32,60,-820
2024-11-03T21:28:50.539Z,28,72,-888
2024-11-03T21:28:50.571Z,60,112,-888
2024-11-03T21:28:50.585Z,96,216,-888
2024-11-03T21:28:50.601Z,104,120,-1000
2024-11-03T21:28:50.628Z,28,-24,-1100
2024-11-03T21:28:50.646Z,12,-76,-1108
2024-11-03T21:28:50.659Z,-8,-112,-1064
2024-11-03T21:28:50.691Z,20,-64,-1072
2024-11-03T21:28:50.707Z,8,-64,-1084
2024-11-03T21:28:50.718Z,20,-52,-1064
2024-11-03T21:28:50.751Z,8,-52,-1036
2024-11-03T21:28:50.763Z,8,-56,-992
2024-11-03T21:28:50.779Z,-24,-104,-1024
2024-11-03T21:28:50.809Z,-28,-132,-1028
2024-11-03T21:28:50.823Z,-24,-120,-1088
2024-11-03T21:28:50.854Z,-32,-172,-1080
