Timestamp,Gesture,Id,X,Y,Z,Up,Down,Left,Right,Shuffle,Circle
20241103010152562,circle,1,-0.09941520467836262,0.2786377708978329,-0.13960113960113962,0,0,0,0,0,1
20241103010152577,circle,1,-0.11578947368421055,0.25077399380804954,-0.24501424501424507,0,0,0,0,0,1
20241103010152592,circle,1,-0.12046783625730995,0.22910216718266252,-0.36752136752136755,0,0,0,0,0,1
20241103010152622,circle,1,-0.1228070175438597,0.22600619195046434,-0.3105413105413105,0,0,0,0,0,1
20241103010152638,circle,1,-0.12046783625730995,0.2662538699690402,-0.18233618233618232,0,0,0,0,0,1
20241103010152652,circle,1,-0.10877192982456141,0.27554179566563475,-0.15384615384615385,0,0,0,0,0,1
20241103010152682,circle,1,-0.09707602339181287,0.2569659442724459,-0.2535612535612536,0,0,0,0,0,1
20241103010152697,circle,1,-0.10643274853801166,0.22910216718266252,-0.2934472934472935,0,0,0,0,0,1
20241103010152727,circle,1,-0.12514619883040934,0.1826625386996905,-0.24216524216524216,0,0,0,0,0,1
20241103010152742,circle,1,-0.10877192982456141,0.23839009287925705,-0.20512820512820518,0,0,0,0,0,1
20241103010152757,circle,1,-0.038596491228070184,0.3405572755417956,-0.2678062678062678,0,0,0,0,0,1
20241103010152788,circle,1,-0.08538011695906433,0.22291021671826616,-0.3048433048433048,0,0,0,0,0,1
20241103010152803,circle,1,-0.09239766081871348,0.1826625386996905,-0.18518518518518523,0,0,0,0,0,1
20241103010152869,circle,1,-0.019883040935672502,0.21671826625387003,-0.008547008547008517,0,0,0,0,0,1
20241103010152875,circle,1,-0.04795321637426897,0.15170278637770895,-0.16239316239316237,0,0,0,0,0,1
20241103010152879,circle,1,-0.13918128654970763,0.10526315789473695,-0.396011396011396,0,0,0,0,0,1
20241103010152880,circle,1,-0.3403508771929824,-0.08049535603715174,-0.3162393162393162,0,0,0,0,0,1
20241103010152910,circle,1,-0.5251461988304094,-0.06501547987616096,-0.32193732193732194,0,0,0,0,0,1
20241103010152922,circle,1,-0.7263157894736842,-0.2445820433436533,-0.7037037037037037,0,0,0,0,0,1
20241103010152938,circle,1,-0.5859649122807018,-0.4396284829721362,-1.0,0,0,0,0,0,1
20241103010152967,circle,1,-0.1228070175438597,-0.32507739938080493,-1.0,0,0,0,0,0,1
20241103010152982,circle,1,0.057309941520467866,-0.3777089783281734,-0.886039886039886,0,0,0,0,0,1
20241103010152997,circle,1,0.2561403508771929,-0.3931888544891641,-0.9658119658119658,0,0,0,0,0,1
20241103010153027,circle,1,0.672514619883041,-0.2662538699690402,-0.9002849002849003,0,0,0,0,0,1
20241103010153042,circle,1,1.0,0.08978328173374606,-0.8461538461538461,0,0,0,0,0,1
20241103010153072,circle,1,0.9157894736842105,0.17337461300309598,-0.37891737891737887,0,0,0,0,0,1
20241103010153088,circle,1,1.0,0.37151702786377716,0.16239316239316248,0,0,0,0,0,1
20241103010153102,circle,1,0.8362573099415205,0.26315789473684204,-0.11111111111111116,0,0,0,0,0,1
20241103010153132,circle,1,0.7707602339181288,0.07430340557275539,-0.15954415954415957,0,0,0,0,0,1
20241103010153147,circle,1,0.7426900584795322,0.2693498452012384,0.3618233618233617,0,0,0,0,0,1
20241103010153162,circle,1,0.6584795321637427,0.05572755417956654,0.6780626780626782,0,0,0,0,0,1
20241103010153192,circle,1,0.6046783625730994,0.07739938080495357,0.4245014245014245,0,0,0,0,0,1
20241103010153207,circle,1,0.4783625730994152,-0.049535603715170295,0.41025641025641035,0,0,0,0,0,1
20241103010153222,circle,1,0.29824561403508776,-0.18575851393188858,0.8347578347578348,0,0,0,0,0,1
20241103010153252,circle,1,0.10175438596491237,-0.1455108359133127,1.0,0,0,0,0,0,1
20241103010153268,circle,1,-0.038596491228070184,-0.17956656346749222,0.7150997150997151,0,0,0,0,0,1
20241103010153282,circle,1,-0.10175438596491226,-0.21362229102167185,0.23931623931623935,0,0,0,0,0,1
20241103010153312,circle,1,-0.2514619883040936,-0.26006191950464397,0.5754985754985755,0,0,0,0,0,1
20241103010153327,circle,1,-0.3543859649122807,-0.27554179566563464,0.7663817663817665,0,0,0,0,0,1
20241103010153357,circle,1,-0.31695906432748533,-0.14241486068111453,0.18518518518518512,0,0,0,0,0,1
20241103010153373,circle,1,-0.5883040935672514,-0.45820433436532504,-0.301994301994302,0,0,0,0,0,1
20241103010153388,circle,1,-0.8222222222222222,-0.9535603715170279,-0.4358974358974359,0,0,0,0,0,1
20241103010153425,circle,1,-0.9415204678362573,-1.0,-0.5897435897435898,0,0,0,0,0,1
20241103010153432,circle,1,-1.0,-0.6346749226006192,-0.6951566951566952,0,0,0,0,0,1
20241103010153447,circle,1,-0.9742690058479532,-0.6346749226006192,-0.8062678062678063,0,0,0,0,0,1
20241103010153477,circle,1,-0.9532163742690059,-0.6965944272445821,-0.9202279202279202,0,0,0,0,0,1
20241103010153492,circle,1,-0.7543859649122807,-0.8204334365325078,-0.8746438746438746,0,0,0,0,0,1
20241103010153507,circle,1,-0.47602339181286546,-0.804953560371517,-0.9002849002849003,0,0,0,0,0,1
20241103010153538,circle,1,0.567251461988304,0.05882352941176472,-1.0,0,0,0,0,0,1
20241103010153552,circle,1,0.7005847953216375,1.0,-1.0,0,0,0,0,0,1
20241103010153567,circle,1,0.2257309941520469,-0.26315789473684215,-0.9287749287749287,0,0,0,0,0,1
20241103010153597,circle,1,0.45497076023391814,0.15479876160990713,-0.09686609686609682,0,0,0,0,0,1
20241103010153612,circle,1,0.5929824561403509,0.8544891640866874,-0.28774928774928776,0,0,0,0,0,1
20241103010153642,circle,1,0.3450292397660819,0.436532507739938,-0.621082621082621,0,0,0,0,0,1
20241103010153657,circle,1,0.21871345029239775,0.436532507739938,-0.09116809116809121,0,0,0,0,0,1
20241103010153672,circle,1,0.13216374269005837,0.3312693498452013,0.05128205128205132,0,0,0,0,0,1
20241103010153702,circle,1,0.09239766081871337,0.39628482972136214,-0.11965811965811968,0,0,0,0,0,1
20241103010153718,circle,1,0.010526315789473717,0.3065015479876161,-0.09401709401709402,0,0,0,0,0,1
20241103010153732,circle,1,-0.03157894736842104,0.2321981424148607,-0.0854700854700855,0,0,0,0,0,1
20241103010153762,circle,1,-0.0736842105263158,0.19195046439628483,-0.19088319088319083,0,0,0,0,0,1
